kb_number,short_description,introduction,instructions,article_body
KB000000A3,Users cannot select Monospace 700 when booking orders with local material GB_NEB_C_INT and GB_FRB_KW_INT,User cannot select Monospace 700 when booking orders with local material GB_NEB_C_INT and GB_FRB_KW_INT.,"The value Monospace 700 has not been defined for the Characteristic Technical Platform. Hence the user is unable to select the value NF (Monospace 700). The values maintained in the table KC_NEB_DEL_CLASS were Sales org, Technical platform, Delivery class, Supply line. The value NF was added to the characteristic KCO_RUSH_TECH_PLATFORM in transaction CT04. Now we were able to select the value but it had some inconsistency. The new value NF was not added to the delivery class. We added the value to the characteristic KCO_DELIVERY_CLASS in CT04. We maintained the values in the table KC_NEB_DEL_CLASS using tcode CU60. Also the values were maintained in the table KC_NEB_LEAD_TIME. The values maintained in the table KC_NEB_DEL_CLASS were Sales org, Technical platform, Delivery class, Supply line. The values maintained in the table KC_NEB_LEAD_TIME were Sales org, Delivery class, activity times. Please check attachment for more details.",
KB000000A6,Service Object Icon Missing,Some times users come up with the tickets stating that they need the possibility to attach documents to sales orders via transaction VA03/VA02. For service orders we have this possibility via transaction IW33/IW32 (see attached screenshot).,ANALYSIS: T his is due to the missing of parameter SD_SWU_ACTIVE under parameters tab in user’s profile. Solution: Fix can be done by the users within themselves by following instructions. Goto the specific document in change mode and then from the same document screen go to Menu --> System-->User Profile--->Own data then goto Parameter Tab add the p arameter SD_SWU_ACTIVE and need to activate it a nd then click on save button …and once you save your profile with the parameter and then when you open the document you can find the sevice object icon appearing the document.,
KB00000A13,Ask IT - Printing issue with Planner group M09 SHOP PAPERS,When User is trying to print Service orders for Planner group M09 under company code 279 we are facing printing issue.,"Whenever we try to print multiple service orders for planner group M09 using IW73 transaction, we get the error like “maximum number of sessions reached”. Check the customizing. IMG -> Plant Maintenance and Customer Service -> Maintenance and Service Processing -> Maintenance and Service Orders -> Print Control -> Define Printer -> ser-Specific Print Control or T-Code : OIDH Check Shop Paper is assigned to Planner group is assigned to Planning Plant/Planner Group, It is found that shop paper were not assigned for that planner group and its company code 279. so added new entry here and saved.",
KB00000A14,Add new commodity codes under the country CN,How to add new commodity codes for a country?,Use the below Path toMaintain the new commidity codes or to change the existing commodity codes discription. SPRO---->SALES & DISTRIBUTION ------>FORIEGN TRADE / CUSTOMS --------> BASIC DATA FOR FORIEGN TRADE-----.DEFINE COMMODITY CODES / IMPORT CODE NUMBERS BY COUNTRY.,
KB00000A17,Network status MADJ error,Network status MADJ error,"MAD-J removal Refer to SAP-I-05 - MAD-J status. MAD-J is removed following: Go to CN22 NW . NW Header Data show that System Status is MADJ Select: Extras - configuration - change management Choose lowest row and press Change steps . Status of row should be Open. See Picture 1 Opens a view where red bubble shows what is wrong. Choose all rows and press lock-symbol Press Back Choose lowest row again (status should be Complete) and choose Edit – complete change comparison. Row should change to status Closed Go back. Now MADJ is removed from NW header. If there is start date: remove it Save NW Remove the reason why MAD-J happened in first place. See list below. Lecture guilty person! Lowest row in Extras - configuration - change management Typical reasons for MAD-J Removal of confirmed NW activity: Activity is confirmed in NW. Some changes activity selections VC DGM and VC tries to remove activity from NW NW activity name or number has been changed. VC does not recognize activity anymore. Only manually added activity numbering or naming can be edited. Typical those red bubbles are like activities which user select from configuration. See below BUT NOW THERE IS RED BUBBLES ALSO IN STANDARD NETWORK ACTIVITIES LIKE ACKNOWL, LAYOUT SEND, 1A READY ETC. BELOW EXAMPLE IS FROM ORDER 8221047",
KB00000A32,asset transfer transaction was not reflected in asset history report S_ALR_87011990,User raised the question why the asset transfer transaction was not reflected in asset history report S_ALR_87011990,"This is because the report version in use is not supporting the asset transfer transaction. By changing report version from 0001 to 0004, correct number comes out. The most important parameter of asset history sheet report is the history sheet version. It is defined in OA79 and controls the report result. Check settings in OA79: We can see Retirement Transfer of Current Year was not assigned to Ver.0001, but assigned to Ver.0004.",
KB00000A35,Network lock issue,Getting network lock (network activities change still pending),YNAC Step by steep procedure attached,
KB00000A38,WBS element status change,WBS element status change TECO to REL,WBS Element not appearing correctly for KAFD project in Z04 6/30754040 -0005-299L User requirement like below WBS element. For this WBs element 6/30754040 -0005-299L it is already TECO status. If you want wbs change we need to change the status TECO to REL then only we can update the new wbs element. When we are changing the WBS element system status TECO to REL it will change User status also change TECW to REL. Tcode: Cj02 EDIT- status- Cancel the teco status And re-enter the correct wbs element. Attachment added ....,
KB00000A39,Ask IT - Default output print,How to add the default printer and output type for any user id ?,"*User transaction VP01 * We wil have 3 options such as 1. sales activities 2. Sales and 3 Billing. *. Choose the desired option based on the user requierment * In drop down menu select the desired output type in which we would like to add the user *Provide the inputs such as User Id , Ouput device ( Printer name ) etc.. for ex : out put type ZS01 * Save the details",
KB00000A45,Add WBS responsible person,Add WBS responsible person,"1.1Procedure: Go to Transaction Code OPS6 Click on New entries button, fill the given details and save. We added WBS responsible person list as per Customer request. 1.2Solution: By above following the explained procedure, We added WBS responsible person list as per Customer request.",
KB00000A59,KONE SO codes,To manintain the code groups/Change the description of the codes: User has problem with following KONE SO codes 1. The space mark(s) should be removed from the name 2. There should also be a capital letter in the word “System” (The capital letter separates SW from HW.) Current form: (J670) Control system – Traveling cables It should be: (J670) Control System-Traveling cables Current form: (J680) Control system–Limit Switch Assemblies It should be: (J680) Control System–Limit Switch Assemblies Current form: (J800) Control system-Software It should be (J800) Control System-Software,"The description of the KONE SO codes are changed in the transaction QS41. Catalog: T Code Group: * Change the description of the codes J670, J680 and J800 according to the requirement.",
KB00000A61,"The Condition Types YVA1, YVA2 and YVA3 not showing up. As a result of which the plan cost from VC value is not flowed","The Condition Types YVA1, YVA2 and YVA3 not showing up. As a result of which the plan cost from VC value is not flowed","Issue Description: The Condition Types YVA1, YVA2 and YVA3 not showing up. As a result of which the plan cost from VC value is not flowed in. 1.1 Analysis: When we checked the issue we found out that the mentioned condition types YVA1, YVA2 and YVA3 are not mainatined in the Pricing Procedure YTRB03 in Z04 Z04 Screen: 1.2Resolution: So it is clear that the issue is with the absence of the 3 condition types in Z04, so we thought of transporting them through Z01, Z02 and Z03 and finally to Z04 but when we checked in Z01 the mentioned condition types YVA1, YVA2 and YVA3 were already maintained in the pricing procedure YTRB03. Z01 Screen:",
KB00000A62,The Order Confirmation Sent was not being received by the recipient for an order,The Order Confirmation Sent was not being received by the recipient for an order,"Issue Description : The Order Confirmation Sent was not being received by the recipient for an order. Order confirmation failed to be received by the user in the form of Email are 811646520 1.1 Analysis: This was happening for Output Type- YMAO in Z04, It was green from SAP side but the mails were not being received by the Contact Person whose ID was maintained in the recipient list. When we checked from SAP end everything is fine and was working well but we assumed that the batch job was not picking the OC for some orders so we took the help of the ABAP team to find out the BATCH JOB that was responsible. We checked the time at which the output was processed from the Order and after knowing the time of delivery we crossed checked it in the job- YMAI_PURCHASING_YMAI So we checked the Job on 9.04.2015 and the job did pick this particular output but was not delivered the Email to the recipient So we took some random orders from the list and checked with the Recipient whether the mail was received or not. For Example: Order: 811628809 Recipient : Salla Alexei The output was sent successfully and the mail was received by the user. So everything was working fine even for the order which was reported, so we started our further analysis by checking the Partners in the Sales Order Header and the Output screen. For the order: 811628809 The Contact person in the header was-401923(Alexei Salla) This was same even in the output window But for the Reported order they were different It was 612181 in the output window but the email was being sent to 855220 (Sales Order Header) 1.2Resolution: After cross checking with some of the other orders and getting confirmation from the recipients we came to a conclusion that this was happening due to the CP (Contact Person ) which is varied from Sales order header partner functions and YMAO output condition Partner . So instructed the user to make sure to have the CP in both areas (Sales order header partner functions and YMAO output condition Partner) and we waited for the JOB to trigger and it worked. (we need to wait for the job YMAI_PURCHASING_YMAI to run since this job runs on hourly basis ) Soon after the job runs it successfully triggered the Emails to the correct recipients after changing the CP so that it is similar in both areas (sales order and Output) And the results are turned positive which can be revealed by the below screen shot. 1.3Testing: Validated with the sales order 811646520 in Z04 1.4Production: Validated with the sales order 811646520 in Z04 Attachment added.....",
KB00000A64,Failed IDOC’s in T code Z_EP_MIDOCS,"ISSUE : Automatic GR is not triggered for few PO and when Z_EP_MIDOCS ( Report which Creates Invoice) is run, these fail because GR is not done. Failed IDOCs in Transaction code Z_EP_MIDOCS-Idoc selection report , where the automated GR did not work. POSSIBLE CAUSE : Shipping Point (DE01) missing for Inbound Delivery of failure case.",Every day twice a background Job ( 220_AUTOMATIC_GR_GSS_AFTERNOON ) is scheduled which creates Automatic GR for all open Inbound deliveries. This background job actually triggers program ( Z_SD_R_GOODRECPT) in which the code checks for mandate parameter (Shipping Point) in inbound delivery . If shipping point ( Receiving Point ) is empty automatic GR is not created. For all our failure cases shipping point DE01 is missing and hence GR was not created. SOLUTION : In the below path SPRO-> Logistics Execution >Shipping> Basic Shipping Functions >Shipping point & goods receiving point determination>Assign goods receiving point for inbound deliveries . Map the missing storage locations with the shipping points here. we do not have entries for SLOC 2223 for plant 220 (FAILURE CASE) and we have entry for SLOC 5310 for plant 220 (SUCCESS CASE),
KB00000A69,Unable to select business line for QFB tool,"QFB notifications: User is unable to select the Business line while creating the as business line is empty in tool, getting the below error",The user is logging in SAP in Russian Language hence The language RU was added in the YBUS_LINE_T table.,
KB00000A71,How to create Backofficer for invoice verification,How to create back officer for invoice verification portal,"In Transaction ZWF1 Please select the below highlighted one. (Double click) You will get the below screen, select the appropriate company code or the appropriate sales company code and click on to inset a person as agent for that company code. In the next pop up select the user option and click on enter In the next popup give the users ID who need authorization and click on enter In the next pop up click on create The user can be seen as in the below screenshot.",
KB00000A78,MBM Plan issue,"To analyze and find reason as to how the service order generated for equipment 40067622 in the month of February had only one operation whereas the MBM plan in ZI05 transaction had two operations scheduled for the same month. The MBM plan for equipment 40067622 in ZI05 shows two operations for February , GKB, BM: Basis Modul and GEO, KM: Kamm Modul","MBM Plan issue Issue : To analyze and find reason as to how the service order generated for equipment 40067622 in the month of February had only one operation whereas the MBM plan in ZI05 transaction had two operations scheduled for the same month. The MBM plan for equipment 40067622 in ZI05 shows two operations for February , GKB, BM: Basis Modul and GEO, KM: Kamm Modul : Whereas in the service order (604705095) generated that month has only one operation BM: Basis Modul On analysis it has been found that the profile assigned to the equipment had been changed from M100018902 to DEE6000912. Hence the modules planned for each month will also differ which led to the incorrect number of operations in the order. Analyzing the groups and task list in service order generated for the months before and after February : Service order ‘604305759’ for December’2012 has group M1000189 : Service order for February,2013 ‘604705095’ also has group M1000189 : The task list of this group indicates GEO, KM: Kamm Modul is not planned for February : Whereas after Feb the service order generated for April ‘605149536’ has different group DEE60009 with different task list and planned modules : Hence as the profiles and groups changed in February this led to incorrect operations in service order.",
KB00000A80,Relinking sales order to an equipment,Relinking sales order to an equipment,"Relinking sales order to an equipment: Go to the equipment (IE03) and note down the serial number. Now go to the edit mode and change the serial number. Here we need to give the serial number of the equipment to which we are trying to relink But as the serial number is already linked to another equipment , system will not allow us to use that serial number So for time being we can change it to last serial number (+1). But to complete the process, we need to change the sales order, only after this changes will be reflected in YPMDS. Now go to the other equipment and change the serial number (give the serial number of the first equipment-which was changed before). Now come back to the 1 st equipment and change the serial number (from last serial number to serial number of the second equipment). Every time after changing the serial number , we need to change the technical object in the sales order (just change and rechange) For this go to YPMDS-> change sales order ->extras-> technical objects, just change and re-change the serial number (just for the data base to store). Now save the order. Sales orders will be successfully re-linked to the equipments",
